test,0,url,timestamp,,
2 pokojowe mieszkanie w nowym budownictwie !,499999,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/praga-poludnie/2-pokojowe-mieszkanie-w-nowym-budownictwie/1007304481520912392588409,2020-05-16 03:36,,
Idealne mieszkanie dla singli lub młodych gotowe do w prowadzenia.,405000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/praga-poludnie/idealne-mieszkanie-dla-singli-lub-mlodych-gotowe-do-w-prowadzenia/1007304451740912099690009,2020-05-16 02:36,,
Piękne mieszkanie w zaciszu Pragi Południe,542000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/praga-poludnie/piekne-mieszkanie-w-zaciszu-pragi-poludnie/1007304069460911172142309,2020-05-15 23:36,,
"2 pokoje, Praga Południe 36m - Osiedle Młodych cicha okolica ul Szaserów + Piwnica",318000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/praga-poludnie/2-pokoje-praga-poludnie-36m-+-osiedle-mlodych-cicha-okolica-ul-szaserow-%252B-piwnica/1007304120330912564971009,2020-05-15 22:36,,
100m do Ronda Wiatraczna! Najlepsza komunikacja!,402999,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/praga-poludnie/100m-do-ronda-wiatraczna-najlepsza-komunikacja/1007304146830911486520009,2020-05-15 21:36,,
Okolica w której znajdziesz swój kawałek nieba!,393465,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/praga-poludnie/okolica-w-ktorej-znajdziesz-swoj-kawalek-nieba/1007304133700911486520009,2020-05-15 21:36,,
Z możliwością zrobienia 2pok / rondo Wiatraczna!,478999,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/praga-poludnie/z-mozliwoscia-zrobienia-2pok-rondo-wiatraczna/1007304057100911486520009,2020-05-15 20:36,,
"Patio, portiernia, dziedziniec i wiele więcej! HIT",388489,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/praga-poludnie/patio-portiernia-dziedziniec-i-wiele-wiecej-hit/1007303979140911486520009,2020-05-15 20:36,,
Mini Apartament blisko Centrum + STADION PGE!,190000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/praga-poludnie/mini-apartament-blisko-centrum-%252B-stadion-pge/1007303921040912115990009,2020-05-15 19:36,,
Gotowy budynek. Wysoki standard. Dwustronne >>,492820,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/praga-poludnie/gotowy-budynek-wysoki-standard-dwustronne/1007303859680911486520009,2020-05-15 19:36,,
